CityFacilityID(FK),WorkerID(FK),total,Jumlah Penduduk,Rasio,status,color
1,1,0,557164,0.0000000000,0,0
2,1,0,877121,0.0000000000,0,0
3,1,0,699526,0.0000000000,0,0
4,1,0,1047645,0.0000000000,0,0
5,1,0,1167796,0.0000000000,0,0
6,1,0,1587132,0.0000000000,0,0
7,1,0,2637160,0.0000000000,0,0
8,1,0,1047482,0.0000000000,0,0
9,1,0,2471542,0.0000000000,0,0
10,1,0,1622536,0.0000000000,0,0
11,1,0,782676,0.0000000000,0,0
12,1,0,689361,0.0000000000,0,0
13,1,0,1182298,0.0000000000,0,0
14,1,0,1650256,0.0000000000,0,0
15,1,0,2321549,0.0000000000,0,0
16,1,0,1136879,0.0000000000,0,0
17,1,0,1274197,0.0000000000,0,0
18,1,0,1060086,0.0000000000,0,0
19,1,0,685490,0.0000000000,0,0
20,1,0,636148,0.0000000000,0,0
21,1,0,840327,0.0000000000,0,0
22,1,0,1255119,0.0000000000,0,0
23,1,0,1182070,0.0000000000,0,0
24,1,0,1204437,0.0000000000,0,0
25,1,0,1342628,0.0000000000,0,0
26,1,0,1003188,0.0000000000,0,0
27,1,0,1001140,0.0000000000,0,0
28,1,0,898130,0.0000000000,0,0
29,1,0,1096701,0.0000000000,0,0
30,1,0,291256,0.0000000000,0,0
31,1,0,143840,0.0000000000,0,0
32,1,0,880169,0.0000000000,0,0
33,1,0,241423,0.0000000000,0,0
34,1,0,203244,0.0000000000,0,0
35,1,0,131216,0.0000000000,0,0
36,1,0,177972,0.0000000000,0,0
37,1,0,2918543,0.0000000000,0,0
38,1,0,211225,0.0000000000,0,0
39,1,49,557164,0.0000879454,Rendah,#B3FFE0
40,1,138,877121,0.0001573329,Rendah,#B3FFE0
41,1,56,699526,0.0000800542,Rendah,#B3FFE0
42,1,190,1047645,0.0001813591,Rendah,#B3FFE0
43,1,127,1167796,0.0001087519,Rendah,#B3FFE0
44,1,223,1587132,0.0001405050,Rendah,#B3FFE0
45,1,512,2637160,0.0001941483,Rendah,#B3FFE0
46,1,144,1047482,0.0001374725,Rendah,#B3FFE0
47,1,362,2471542,0.0001464673,Rendah,#B3FFE0
48,1,242,1622536,0.0001491492,Rendah,#B3FFE0
49,1,74,782676,0.0000945474,Rendah,#B3FFE0
50,1,72,689361,0.0001044446,Rendah,#B3FFE0
51,1,113,1182298,0.0000955766,Rendah,#B3FFE0
52,1,172,1650256,0.0001042263,Rendah,#B3FFE0
53,1,729,2321549,0.0003140145,Rendah,#B3FFE0
54,1,204,1136879,0.0001794386,Rendah,#B3FFE0
55,1,252,1274197,0.0001977716,Rendah,#B3FFE0
