CityID (FK),year,total
1,2021,557164
2,2021,877121
3,2021,699526
4,2021,1047645
5,2021,1167796
6,2021,1587132
7,2021,2637160
8,2021,1047482
9,2021,2471542
10,2021,1622536
11,2021,782676
12,2021,689361
13,2021,1182298
14,2021,1650256
15,2021,2321549
16,2021,1136879
17,2021,1274197
18,2021,1060086
19,2021,685490
20,2021,636148
21,2021,840327
22,2021,1255119
23,2021,1182070
24,2021,1204437
25,2021,1342628
26,2021,1003188
27,2021,1001140
28,2021,898130
29,2021,1096701
30,2021,291256
31,2021,143840
32,2021,880169
33,2021,241423
34,2021,203244
35,2021,131216
36,2021,177972
37,2021,2918543
38,2021,211225
